cell_barcode,donor,guide,condition,batch,lane,pathway_score,nc_unit,nc_split
cell_1_0,donor_1,guide_1,targeting,batch_1,lane_1,-1.4529,,
cell_1_1,donor_1,guide_1,targeting,batch_1,lane_2,0.3144,,
cell_1_2,donor_1,guide_1,targeting,batch_1,lane_3,-0.4876,,
cell_1_3,donor_1,guide_1,targeting,batch_1,lane_1,-0.9403,,
cell_1_4,donor_1,guide_1,targeting,batch_1,lane_2,-0.0875,,
cell_1_5,donor_1,guide_1,targeting,batch_1,lane_3,-2.4962,,
cell_1_6,donor_1,guide_1,targeting,batch_1,lane_1,-0.5913,,
cell_1_7,donor_1,guide_1,targeting,batch_1,lane_2,0.0534,,
cell_1_8,donor_1,guide_1,targeting,batch_1,lane_3,0.4266,,
cell_1_9,donor_1,guide_1,targeting,batch_1,lane_1,-0.9026,,
cell_1_10,donor_1,guide_1,targeting,batch_1,lane_2,-1.1102,,
cell_1_11,donor_1,guide_1,targeting,batch_1,lane_3,-0.2774,,
cell_1_12,donor_1,guide_1,targeting,batch_1,lane_1,-0.2686,,
cell_1_13,donor_1,guide_1,targeting,batch_1,lane_2,-0.9829,,
cell_1_14,donor_1,guide_1,targeting,batch_1,lane_3,-0.1403,,
cell_1_15,donor_1,guide_1,targeting,batch_1,lane_1,-0.5468,,
cell_1_16,donor_1,guide_1,targeting,batch_1,lane_2,0.8584,,
cell_1_17,donor_1,guide_1,targeting,batch_1,lane_3,-1.0225,,
cell_1_18,donor_1,guide_1,targeting,batch_1,lane_1,-1.3002,,
cell_1_19,donor_1,guide_1,targeting,batch_1,lane_2,-2.7447,,
cell_1_20,donor_1,guide_1,targeting,batch_1,lane_3,0.0761,,
cell_1_21,donor_1,guide_1,targeting,batch_1,lane_1,-1.1175,,
cell_1_22,donor_1,guide_1,targeting,batch_1,lane_2,0.0859,,
cell_1_23,donor_1,guide_1,targeting,batch_1,lane_3,-0.2195,,
cell_1_24,donor_1,guide_1,targeting,batch_1,lane_1,0.124,,
cell_1_25,donor_1,guide_1,targeting,batch_1,lane_2,-1.2812,,
cell_1_26,donor_1,guide_1,targeting,batch_1,lane_3,0.125,,
cell_1_27,donor_1,guide_1,targeting,batch_1,lane_1,-1.0331,,
cell_1_28,donor_1,guide_1,targeting,batch_1,lane_2,0.1086,,
cell_1_29,donor_1,guide_1,targeting,batch_1,lane_3,0.0056,,
cell_1_30,donor_1,guide_1,targeting,batch_1,lane_1,0.5146,,
cell_1_31,donor_1,guide_1,targeting,batch_1,lane_2,-1.7375,,
cell_1_32,donor_1,guide_1,targeting,batch_1,lane_3,-0.5622,,
cell_1_33,donor_1,guide_1,targeting,batch_1,lane_1,-0.0787,,
cell_1_34,donor_1,guide_1,targeting,batch_1,lane_2,-2.1572,,
cell_1_35,donor_1,guide_1,targeting,batch_1,lane_3,-1.2634,,
cell_1_36,donor_1,guide_1,targeting,batch_1,lane_1,-0.582,,
cell_1_37,donor_1,guide_1,targeting,batch_1,lane_2,-2.3471,,
cell_1_38,donor_1,guide_1,targeting,batch_1,lane_3,-2.0793,,
cell_1_39,donor_1,guide_1,targeting,batch_1,lane_1,-2.8918,,
cell_2_0,donor_1,guide_2,targeting,batch_1,lane_1,0.392,,
cell_2_1,donor_1,guide_2,targeting,batch_1,lane_2,-1.8849,,
cell_2_2,donor_1,guide_2,targeting,batch_1,lane_3,-0.1161,,
cell_2_3,donor_1,guide_2,targeting,batch_1,lane_1,-2.1154,,
cell_2_4,donor_1,guide_2,targeting,batch_1,lane_2,-1.5092,,
cell_2_5,donor_1,guide_2,targeting,batch_1,lane_3,-0.6533,,
cell_2_6,donor_1,guide_2,targeting,batch_1,lane_1,-0.5785,,
cell_2_7,donor_1,guide_2,targeting,batch_1,lane_2,0.5695,,
cell_2_8,donor_1,guide_2,targeting,batch_1,lane_3,-2.531,,
cell_2_9,donor_1,guide_2,targeting,batch_1,lane_1,0.2186,,
cell_2_10,donor_1,guide_2,targeting,batch_1,lane_2,-0.6697,,
cell_2_11,donor_1,guide_2,targeting,batch_1,lane_3,-0.0611,,
cell_2_12,donor_1,guide_2,targeting,batch_1,lane_1,-1.0786,,
cell_2_13,donor_1,guide_2,targeting,batch_1,lane_2,-1.9999,,
cell_2_14,donor_1,guide_2,targeting,batch_1,lane_3,-0.0616,,
cell_2_15,donor_1,guide_2,targeting,batch_1,lane_1,-0.3691,,
cell_2_16,donor_1,guide_2,targeting,batch_1,lane_2,-0.5181,,
cell_2_17,donor_1,guide_2,targeting,batch_1,lane_3,-2.0073,,
cell_2_18,donor_1,guide_2,targeting,batch_1,lane_1,-0.6985,,
cell_2_19,donor_1,guide_2,targeting,batch_1,lane_2,-0.7261,,
cell_2_20,donor_1,guide_2,targeting,batch_1,lane_3,0.4546,,
cell_2_21,donor_1,guide_2,targeting,batch_1,lane_1,-0.6172,,
cell_2_22,donor_1,guide_2,targeting,batch_1,lane_2,-1.8804,,
cell_2_23,donor_1,guide_2,targeting,batch_1,lane_3,-1.5555,,
cell_2_24,donor_1,guide_2,targeting,batch_1,lane_1,-0.5995,,
cell_2_25,donor_1,guide_2,targeting,batch_1,lane_2,-1.5392,,
cell_2_26,donor_1,guide_2,targeting,batch_1,lane_3,-0.3354,,
cell_2_27,donor_1,guide_2,targeting,batch_1,lane_1,-1.8592,,
cell_2_28,donor_1,guide_2,targeting,batch_1,lane_2,-0.59,,
cell_2_29,donor_1,guide_2,targeting,batch_1,lane_3,0.2218,,
cell_2_30,donor_1,guide_2,targeting,batch_1,lane_1,-0.7395,,
cell_2_31,donor_1,guide_2,targeting,batch_1,lane_2,0.9962,,
cell_2_32,donor_1,guide_2,targeting,batch_1,lane_3,0.0688,,
cell_2_33,donor_1,guide_2,targeting,batch_1,lane_1,-2.381,,
cell_2_34,donor_1,guide_2,targeting,batch_1,lane_2,0.3765,,
cell_2_35,donor_1,guide_2,targeting,batch_1,lane_3,-0.9134,,
cell_2_36,donor_1,guide_2,targeting,batch_1,lane_1,-1.1564,,
cell_2_37,donor_1,guide_2,targeting,batch_1,lane_2,-0.4693,,
cell_2_38,donor_1,guide_2,targeting,batch_1,lane_3,-3.2932,,
cell_2_39,donor_1,guide_2,targeting,batch_1,lane_1,-0.5608,,
cell_3_0,donor_1,guide_3,targeting,batch_1,lane_1,0.1116,,
cell_3_1,donor_1,guide_3,targeting,batch_1,lane_2,-1.198,,
cell_3_2,donor_1,guide_3,targeting,batch_1,lane_3,0.338,,
cell_3_3,donor_1,guide_3,targeting,batch_1,lane_1,-1.5343,,
cell_3_4,donor_1,guide_3,targeting,batch_1,lane_2,-2.7087,,
cell_3_5,donor_1,guide_3,targeting,batch_1,lane_3,1.3295,,
cell_3_6,donor_1,guide_3,targeting,batch_1,lane_1,-0.4924,,
cell_3_7,donor_1,guide_3,targeting,batch_1,lane_2,-0.6443,,
cell_3_8,donor_1,guide_3,targeting,batch_1,lane_3,-1.0921,,
cell_3_9,donor_1,guide_3,targeting,batch_1,lane_1,-1.508,,
cell_3_10,donor_1,guide_3,targeting,batch_1,lane_2,-0.6939,,
cell_3_11,donor_1,guide_3,targeting,batch_1,lane_3,-1.6431,,
cell_3_12,donor_1,guide_3,targeting,batch_1,lane_1,0.7908,,
cell_3_13,donor_1,guide_3,targeting,batch_1,lane_2,-1.1084,,
cell_3_14,donor_1,guide_3,targeting,batch_1,lane_3,-0.2215,,
cell_3_15,donor_1,guide_3,targeting,batch_1,lane_1,-2.8798,,
cell_3_16,donor_1,guide_3,targeting,batch_1,lane_2,-0.2841,,
cell_3_17,donor_1,guide_3,targeting,batch_1,lane_3,-2.4489,,
cell_3_18,donor_1,guide_3,targeting,batch_1,lane_1,-2.2861,,
cell_3_19,donor_1,guide_3,targeting,batch_1,lane_2,-0.0908,,
cell_3_20,donor_1,guide_3,targeting,batch_1,lane_3,-0.8882,,
cell_3_21,donor_1,guide_3,targeting,batch_1,lane_1,-0.4027,,
cell_3_22,donor_1,guide_3,targeting,batch_1,lane_2,-0.9327,,
cell_3_23,donor_1,guide_3,targeting,batch_1,lane_3,-1.5775,,
cell_3_24,donor_1,guide_3,targeting,batch_1,lane_1,-2.1463,,
cell_3_25,donor_1,guide_3,targeting,batch_1,lane_2,-1.3224,,
cell_3_26,donor_1,guide_3,targeting,batch_1,lane_3,-1.0995,,
cell_3_27,donor_1,guide_3,targeting,batch_1,lane_1,-0.4831,,
cell_3_28,donor_1,guide_3,targeting,batch_1,lane_2,-0.668,,
cell_3_29,donor_1,guide_3,targeting,batch_1,lane_3,-1.1654,,
cell_3_30,donor_1,guide_3,targeting,batch_1,lane_1,-0.5112,,
cell_3_31,donor_1,guide_3,targeting,batch_1,lane_2,-0.8508,,
cell_3_32,donor_1,guide_3,targeting,batch_1,lane_3,-2.8318,,
cell_3_33,donor_1,guide_3,targeting,batch_1,lane_1,-0.9392,,
cell_3_34,donor_1,guide_3,targeting,batch_1,lane_2,-0.1811,,
cell_3_35,donor_1,guide_3,targeting,batch_1,lane_3,-1.4172,,
cell_3_36,donor_1,guide_3,targeting,batch_1,lane_1,-1.0502,,
cell_3_37,donor_1,guide_3,targeting,batch_1,lane_2,-0.2158,,
cell_3_38,donor_1,guide_3,targeting,batch_1,lane_3,-1.9169,,
cell_3_39,donor_1,guide_3,targeting,batch_1,lane_1,0.1675,,
cell_4_0,donor_1,guide_4,targeting,batch_1,lane_1,-0.6576,,
cell_4_1,donor_1,guide_4,targeting,batch_1,lane_2,-1.3042,,
cell_4_2,donor_1,guide_4,targeting,batch_1,lane_3,-0.3722,,
cell_4_3,donor_1,guide_4,targeting,batch_1,lane_1,-0.4626,,
cell_4_4,donor_1,guide_4,targeting,batch_1,lane_2,-0.0804,,
cell_4_5,donor_1,guide_4,targeting,batch_1,lane_3,-1.7449,,
cell_4_6,donor_1,guide_4,targeting,batch_1,lane_1,-1.0405,,
cell_4_7,donor_1,guide_4,targeting,batch_1,lane_2,-1.2778,,
cell_4_8,donor_1,guide_4,targeting,batch_1,lane_3,-1.2883,,
cell_4_9,donor_1,guide_4,targeting,batch_1,lane_1,-0.0097,,
cell_4_10,donor_1,guide_4,targeting,batch_1,lane_2,0.0456,,
cell_4_11,donor_1,guide_4,targeting,batch_1,lane_3,-1.3113,,
cell_4_12,donor_1,guide_4,targeting,batch_1,lane_1,0.1759,,
