cell_barcode,donor,sample,condition,batch,lane,pathway_score,nc_unit,nc_split
cell_donor_1_0,donor_1,donor_1_treated,treated,batch_A,lane_1,0.8104,donor_1,a
cell_donor_1_1,donor_1,donor_1_treated,treated,batch_A,lane_2,1.4278,donor_1,b
cell_donor_1_2,donor_1,donor_1_treated,treated,batch_A,lane_3,-0.0804,donor_1,a
cell_donor_1_3,donor_1,donor_1_treated,treated,batch_A,lane_4,-0.8962,donor_1,b
cell_donor_1_4,donor_1,donor_1_treated,treated,batch_A,lane_1,0.3672,donor_1,a
cell_donor_1_5,donor_1,donor_1_treated,treated,batch_A,lane_2,0.9108,donor_1,b
cell_donor_1_6,donor_1,donor_1_treated,treated,batch_A,lane_3,1.531,donor_1,a
cell_donor_1_7,donor_1,donor_1_treated,treated,batch_A,lane_4,-0.7831,donor_1,b
cell_donor_1_8,donor_1,donor_1_treated,treated,batch_A,lane_1,-0.8601,donor_1,a
cell_donor_1_9,donor_1,donor_1_treated,treated,batch_A,lane_2,1.1387,donor_1,b
cell_donor_1_10,donor_1,donor_1_treated,treated,batch_A,lane_3,0.9069,donor_1,a
cell_donor_1_11,donor_1,donor_1_treated,treated,batch_A,lane_4,1.9666,donor_1,b
cell_donor_1_12,donor_1,donor_1_treated,treated,batch_A,lane_1,1.4152,donor_1,a
cell_donor_1_13,donor_1,donor_1_treated,treated,batch_A,lane_2,0.331,donor_1,b
cell_donor_1_14,donor_1,donor_1_treated,treated,batch_A,lane_3,0.1585,donor_1,a
cell_donor_1_15,donor_1,donor_1_treated,treated,batch_A,lane_4,3.0033,donor_1,b
cell_donor_1_16,donor_1,donor_1_treated,treated,batch_A,lane_1,0.144,donor_1,a
cell_donor_1_17,donor_1,donor_1_treated,treated,batch_A,lane_2,-0.3522,donor_1,b
cell_donor_1_18,donor_1,donor_1_treated,treated,batch_A,lane_3,-0.7056,donor_1,a
cell_donor_1_19,donor_1,donor_1_treated,treated,batch_A,lane_4,0.5282,donor_1,b
cell_donor_1_20,donor_1,donor_1_treated,treated,batch_A,lane_1,0.5781,donor_1,a
cell_donor_1_21,donor_1,donor_1_treated,treated,batch_A,lane_2,0.0879,donor_1,b
cell_donor_1_22,donor_1,donor_1_treated,treated,batch_A,lane_3,0.3706,donor_1,a
cell_donor_1_23,donor_1,donor_1_treated,treated,batch_A,lane_4,0.7059,donor_1,b
cell_donor_1_24,donor_1,donor_1_treated,treated,batch_A,lane_1,1.1252,donor_1,a
cell_donor_1_25,donor_1,donor_1_treated,treated,batch_A,lane_2,1.5296,donor_1,b
cell_donor_1_26,donor_1,donor_1_treated,treated,batch_A,lane_3,0.6426,donor_1,a
cell_donor_1_27,donor_1,donor_1_treated,treated,batch_A,lane_4,-1.357,donor_1,b
cell_donor_1_28,donor_1,donor_1_treated,treated,batch_A,lane_1,1.1345,donor_1,a
cell_donor_1_29,donor_1,donor_1_treated,treated,batch_A,lane_2,-0.9869,donor_1,b
cell_donor_1_30,donor_1,donor_1_treated,treated,batch_A,lane_3,0.2614,donor_1,a
cell_donor_1_31,donor_1,donor_1_treated,treated,batch_A,lane_4,-1.041,donor_1,b
cell_donor_1_32,donor_1,donor_1_treated,treated,batch_A,lane_1,0.4349,donor_1,a
cell_donor_1_33,donor_1,donor_1_treated,treated,batch_A,lane_2,-0.3458,donor_1,b
cell_donor_1_34,donor_1,donor_1_treated,treated,batch_A,lane_3,0.6467,donor_1,a
cell_donor_1_35,donor_1,donor_1_treated,treated,batch_A,lane_4,3.7331,donor_1,b
cell_donor_1_36,donor_1,donor_1_treated,treated,batch_A,lane_1,0.3842,donor_1,a
cell_donor_1_37,donor_1,donor_1_treated,treated,batch_A,lane_2,1.2751,donor_1,b
cell_donor_1_38,donor_1,donor_1_treated,treated,batch_A,lane_3,-0.8905,donor_1,a
cell_donor_1_39,donor_1,donor_1_treated,treated,batch_A,lane_4,0.1447,donor_1,b
cell_donor_2_0,donor_2,donor_2_treated,treated,batch_A,lane_1,0.9061,donor_2,a
cell_donor_2_1,donor_2,donor_2_treated,treated,batch_A,lane_2,1.3689,donor_2,b
cell_donor_2_2,donor_2,donor_2_treated,treated,batch_A,lane_3,1.1021,donor_2,a
cell_donor_2_3,donor_2,donor_2_treated,treated,batch_A,lane_4,-0.0074,donor_2,b
cell_donor_2_4,donor_2,donor_2_treated,treated,batch_A,lane_1,1.5625,donor_2,a
cell_donor_2_5,donor_2,donor_2_treated,treated,batch_A,lane_2,0.1867,donor_2,b
cell_donor_2_6,donor_2,donor_2_treated,treated,batch_A,lane_3,2.8705,donor_2,a
cell_donor_2_7,donor_2,donor_2_treated,treated,batch_A,lane_4,0.4935,donor_2,b
cell_donor_2_8,donor_2,donor_2_treated,treated,batch_A,lane_1,1.6848,donor_2,a
cell_donor_2_9,donor_2,donor_2_treated,treated,batch_A,lane_2,1.0011,donor_2,b
cell_donor_2_10,donor_2,donor_2_treated,treated,batch_A,lane_3,1.9512,donor_2,a
cell_donor_2_11,donor_2,donor_2_treated,treated,batch_A,lane_4,0.3966,donor_2,b
cell_donor_2_12,donor_2,donor_2_treated,treated,batch_A,lane_1,1.9976,donor_2,a
cell_donor_2_13,donor_2,donor_2_treated,treated,batch_A,lane_2,0.8748,donor_2,b
cell_donor_2_14,donor_2,donor_2_treated,treated,batch_A,lane_3,2.2621,donor_2,a
cell_donor_2_15,donor_2,donor_2_treated,treated,batch_A,lane_4,1.6229,donor_2,b
cell_donor_2_16,donor_2,donor_2_treated,treated,batch_A,lane_1,1.14,donor_2,a
cell_donor_2_17,donor_2,donor_2_treated,treated,batch_A,lane_2,0.2185,donor_2,b
cell_donor_2_18,donor_2,donor_2_treated,treated,batch_A,lane_3,1.7665,donor_2,a
cell_donor_2_19,donor_2,donor_2_treated,treated,batch_A,lane_4,1.4669,donor_2,b
cell_donor_2_20,donor_2,donor_2_treated,treated,batch_A,lane_1,2.6406,donor_2,a
cell_donor_2_21,donor_2,donor_2_treated,treated,batch_A,lane_2,0.6217,donor_2,b
cell_donor_2_22,donor_2,donor_2_treated,treated,batch_A,lane_3,1.5535,donor_2,a
