cell_barcode,donor,sample,condition,batch,lane,pathway_score,nc_unit,nc_split
cell_1_treated_0,donor_1,D1_treated,treated,batch_1,lane_1,-1.9913,,
cell_1_treated_1,donor_1,D1_treated,treated,batch_1,lane_2,-1.3739,,
cell_1_treated_2,donor_1,D1_treated,treated,batch_1,lane_3,-2.8821,,
cell_1_treated_3,donor_1,D1_treated,treated,batch_1,lane_1,-3.6979,,
cell_1_treated_4,donor_1,D1_treated,treated,batch_1,lane_2,-2.4344,,
cell_1_treated_5,donor_1,D1_treated,treated,batch_1,lane_3,-1.8909,,
cell_1_treated_6,donor_1,D1_treated,treated,batch_1,lane_1,-1.2707,,
cell_1_treated_7,donor_1,D1_treated,treated,batch_1,lane_2,-3.5848,,
cell_1_treated_8,donor_1,D1_treated,treated,batch_1,lane_3,-3.6618,,
cell_1_treated_9,donor_1,D1_treated,treated,batch_1,lane_1,-1.663,,
cell_1_treated_10,donor_1,D1_treated,treated,batch_1,lane_2,-1.8948,,
cell_1_treated_11,donor_1,D1_treated,treated,batch_1,lane_3,-0.8351,,
cell_1_treated_12,donor_1,D1_treated,treated,batch_1,lane_1,-1.3864,,
cell_1_treated_13,donor_1,D1_treated,treated,batch_1,lane_2,-2.4707,,
cell_1_treated_14,donor_1,D1_treated,treated,batch_1,lane_3,-2.6431,,
cell_1_treated_15,donor_1,D1_treated,treated,batch_1,lane_1,0.2016,,
cell_1_treated_16,donor_1,D1_treated,treated,batch_1,lane_2,-2.6577,,
cell_1_treated_17,donor_1,D1_treated,treated,batch_1,lane_3,-3.1538,,
cell_1_treated_18,donor_1,D1_treated,treated,batch_1,lane_1,-3.5072,,
cell_1_treated_19,donor_1,D1_treated,treated,batch_1,lane_2,-2.2734,,
cell_1_treated_20,donor_1,D1_treated,treated,batch_1,lane_3,-2.2236,,
cell_1_treated_21,donor_1,D1_treated,treated,batch_1,lane_1,-2.7138,,
cell_1_treated_22,donor_1,D1_treated,treated,batch_1,lane_2,-2.431,,
cell_1_treated_23,donor_1,D1_treated,treated,batch_1,lane_3,-2.0958,,
cell_1_treated_24,donor_1,D1_treated,treated,batch_1,lane_1,-1.6765,,
cell_1_treated_25,donor_1,D1_treated,treated,batch_1,lane_2,-1.2721,,
cell_1_treated_26,donor_1,D1_treated,treated,batch_1,lane_3,-2.1591,,
cell_1_treated_27,donor_1,D1_treated,treated,batch_1,lane_1,-4.1587,,
cell_1_treated_28,donor_1,D1_treated,treated,batch_1,lane_2,-1.6672,,
cell_1_treated_29,donor_1,D1_treated,treated,batch_1,lane_3,-3.7886,,
cell_1_treated_30,donor_1,D1_treated,treated,batch_1,lane_1,-2.5403,,
cell_1_treated_31,donor_1,D1_treated,treated,batch_1,lane_2,-3.8427,,
cell_1_treated_32,donor_1,D1_treated,treated,batch_1,lane_3,-2.3668,,
cell_1_treated_33,donor_1,D1_treated,treated,batch_1,lane_1,-3.1475,,
cell_1_treated_34,donor_1,D1_treated,treated,batch_1,lane_2,-2.155,,
cell_1_treated_35,donor_1,D1_treated,treated,batch_1,lane_3,0.9314,,
cell_1_treated_36,donor_1,D1_treated,treated,batch_1,lane_1,-2.4175,,
cell_1_treated_37,donor_1,D1_treated,treated,batch_1,lane_2,-1.5266,,
cell_1_treated_38,donor_1,D1_treated,treated,batch_1,lane_3,-3.6922,,
cell_1_treated_39,donor_1,D1_treated,treated,batch_1,lane_1,-2.6569,,
cell_1_control_0,donor_1,D1_control,control,batch_1,lane_1,0.5936,D1_control_a,a
cell_1_control_1,donor_1,D1_control,control,batch_1,lane_2,-1.5616,D1_control_b,b
cell_1_control_2,donor_1,D1_control,control,batch_1,lane_3,0.3013,D1_control_a,a
cell_1_control_3,donor_1,D1_control,control,batch_1,lane_1,-1.3656,D1_control_b,b
cell_1_control_4,donor_1,D1_control,control,batch_1,lane_2,-1.075,D1_control_a,a
cell_1_control_5,donor_1,D1_control,control,batch_1,lane_3,-0.9051,D1_control_b,b
cell_1_control_6,donor_1,D1_control,control,batch_1,lane_1,-0.8809,D1_control_a,a
cell_1_control_7,donor_1,D1_control,control,batch_1,lane_2,0.4029,D1_control_b,b
cell_1_control_8,donor_1,D1_control,control,batch_1,lane_3,-0.5741,D1_control_a,a
cell_1_control_9,donor_1,D1_control,control,batch_1,lane_1,-0.7828,D1_control_b,b
cell_1_control_10,donor_1,D1_control,control,batch_1,lane_2,-0.0665,D1_control_a,a
cell_1_control_11,donor_1,D1_control,control,batch_1,lane_3,-0.5165,D1_control_b,b
cell_1_control_12,donor_1,D1_control,control,batch_1,lane_1,-0.671,D1_control_a,a
cell_1_control_13,donor_1,D1_control,control,batch_1,lane_2,-0.47,D1_control_b,b
cell_1_control_14,donor_1,D1_control,control,batch_1,lane_3,-0.1928,D1_control_a,a
cell_1_control_15,donor_1,D1_control,control,batch_1,lane_1,-0.2056,D1_control_b,b
cell_1_control_16,donor_1,D1_control,control,batch_1,lane_2,0.5553,D1_control_a,a
cell_1_control_17,donor_1,D1_control,control,batch_1,lane_3,-1.3276,D1_control_b,b
cell_1_control_18,donor_1,D1_control,control,batch_1,lane_1,-0.8492,D1_control_a,a
cell_1_control_19,donor_1,D1_control,control,batch_1,lane_2,-0.7011,D1_control_b,b
cell_1_control_20,donor_1,D1_control,control,batch_1,lane_3,0.3993,D1_control_a,a
cell_1_control_21,donor_1,D1_control,control,batch_1,lane_1,0.173,D1_control_b,b
cell_1_control_22,donor_1,D1_control,control,batch_1,lane_2,-0.4459,D1_control_a,a
cell_1_control_23,donor_1,D1_control,control,batch_1,lane_3,-0.9141,D1_control_b,b
cell_1_control_24,donor_1,D1_control,control,batch_1,lane_1,0.439,D1_control_a,a
cell_1_control_25,donor_1,D1_control,control,batch_1,lane_2,-1.1859,D1_control_b,b
cell_1_control_26,donor_1,D1_control,control,batch_1,lane_3,0.1396,D1_control_a,a
cell_1_control_27,donor_1,D1_control,control,batch_1,lane_1,-1.2868,D1_control_b,b
cell_1_control_28,donor_1,D1_control,control,batch_1,lane_2,-0.6673,D1_control_a,a
cell_1_control_29,donor_1,D1_control,control,batch_1,lane_3,-2.4834,D1_control_b,b
cell_1_control_30,donor_1,D1_control,control,batch_1,lane_1,-0.4654,D1_control_a,a
cell_1_control_31,donor_1,D1_control,control,batch_1,lane_2,-0.8781,D1_control_b,b
cell_1_control_32,donor_1,D1_control,control,batch_1,lane_3,1.4423,D1_control_a,a
cell_1_control_33,donor_1,D1_control,control,batch_1,lane_1,-0.4918,D1_control_b,b
cell_1_control_34,donor_1,D1_control,control,batch_1,lane_2,0.9844,D1_control_a,a
cell_1_control_35,donor_1,D1_control,control,batch_1,lane_3,-0.6916,D1_control_b,b
cell_1_control_36,donor_1,D1_control,control,batch_1,lane_1,0.6296,D1_control_a,a
cell_1_control_37,donor_1,D1_control,control,batch_1,lane_2,-1.2855,D1_control_b,b
cell_1_control_38,donor_1,D1_control,control,batch_1,lane_3,0.7026,D1_control_a,a
cell_1_control_39,donor_1,D1_control,control,batch_1,lane_1,0.3048,D1_control_b,b
cell_2_treated_0,donor_2,D2_treated,treated,batch_2,lane_1,-1.987,,
cell_2_treated_1,donor_2,D2_treated,treated,batch_2,lane_2,0.6669,,
cell_2_treated_2,donor_2,D2_treated,treated,batch_2,lane_3,-1.0485,,
cell_2_treated_3,donor_2,D2_treated,treated,batch_2,lane_1,-0.3222,,
cell_2_treated_4,donor_2,D2_treated,treated,batch_2,lane_2,-0.4193,,
cell_2_treated_5,donor_2,D2_treated,treated,batch_2,lane_3,-2.4289,,
cell_2_treated_6,donor_2,D2_treated,treated,batch_2,lane_1,1.1403,,
cell_2_treated_7,donor_2,D2_treated,treated,batch_2,lane_2,0.4827,,
cell_2_treated_8,donor_2,D2_treated,treated,batch_2,lane_3,-1.1162,,
cell_2_treated_9,donor_2,D2_treated,treated,batch_2,lane_1,-0.5407,,
cell_2_treated_10,donor_2,D2_treated,treated,batch_2,lane_2,-1.1662,,
cell_2_treated_11,donor_2,D2_treated,treated,batch_2,lane_3,-2.1773,,
cell_2_treated_12,donor_2,D2_treated,treated,batch_2,lane_1,-1.4052,,
cell_2_treated_13,donor_2,D2_treated,treated,batch_2,lane_2,-0.9191,,
cell_2_treated_14,donor_2,D2_treated,treated,batch_2,lane_3,-0.1774,,
cell_2_treated_15,donor_2,D2_treated,treated,batch_2,lane_1,-0.5839,,
cell_2_treated_16,donor_2,D2_treated,treated,batch_2,lane_2,-1.2336,,
cell_2_treated_17,donor_2,D2_treated,treated,batch_2,lane_3,0.0616,,
cell_2_treated_18,donor_2,D2_treated,treated,batch_2,lane_1,-2.0539,,
cell_2_treated_19,donor_2,D2_treated,treated,batch_2,lane_2,-0.5003,,
cell_2_treated_20,donor_2,D2_treated,treated,batch_2,lane_3,-0.181,,
cell_2_treated_21,donor_2,D2_treated,treated,batch_2,lane_1,-1.5852,,
cell_2_treated_22,donor_2,D2_treated,treated,batch_2,lane_2,-3.0838,,
cell_2_treated_23,donor_2,D2_treated,treated,batch_2,lane_3,-2.1995,,
cell_2_treated_24,donor_2,D2_treated,treated,batch_2,lane_1,-1.0561,,
cell_2_treated_25,donor_2,D2_treated,treated,batch_2,lane_2,-0.7653,,
cell_2_treated_26,donor_2,D2_treated,treated,batch_2,lane_3,0.2551,,
cell_2_treated_27,donor_2,D2_treated,treated,batch_2,lane_1,-2.2973,,
cell_2_treated_28,donor_2,D2_treated,treated,batch_2,lane_2,-1.2911,,
cell_2_treated_29,donor_2,D2_treated,treated,batch_2,lane_3,-0.6444,,
cell_2_treated_30,donor_2,D2_treated,treated,batch_2,lane_1,-1.4509,,
cell_2_treated_31,donor_2,D2_treated,treated,batch_2,lane_2,-3.6629,,
cell_2_treated_32,donor_2,D2_treated,treated,batch_2,lane_3,-0.4867,,
cell_2_treated_33,donor_2,D2_treated,treated,batch_2,lane_1,1.0191,,
cell_2_treated_34,donor_2,D2_treated,treated,batch_2,lane_2,-0.2888,,
cell_2_treated_35,donor_2,D2_treated,treated,batch_2,lane_3,-2.2106,,
cell_2_treated_36,donor_2,D2_treated,treated,batch_2,lane_1,-1.7055,,
cell_2_treated_37,donor_2,D2_treated,treated,batch_2,lane_2,-1.0713,,
cell_2_treated_38,donor_2,D2_treated,treated,batch_2,lane_3,1.1959,,
cell_2_treated_39,donor_2,D2_treated,treated,batch_2,lane_1,-0.6758,,
cell_2_control_0,donor_2,D2_control,control,batch_2,lane_1,1.1205,D2_control_a,a
cell_2_control_1,donor_2,D2_control,control,batch_2,lane_2,1.1643,D2_control_b,b
cell_2_control_2,donor_2,D2_control,control,batch_2,lane_3,0.9251,D2_control_a,a
cell_2_control_3,donor_2,D2_control,control,batch_2,lane_1,1.4682,D2_control_b,b
cell_2_control_4,donor_2,D2_control,control,batch_2,lane_2,0.3218,D2_control_a,a
cell_2_control_5,donor_2,D2_control,control,batch_2,lane_3,-0.868,D2_control_b,b
cell_2_control_6,donor_2,D2_control,control,batch_2,lane_1,1.7277,D2_control_a,a
cell_2_control_7,donor_2,D2_control,control,batch_2,lane_2,1.0312,D2_control_b,b
cell_2_control_8,donor_2,D2_control,control,batch_2,lane_3,1.6608,D2_control_a,a
cell_2_control_9,donor_2,D2_control,control,batch_2,lane_1,-0.0916,D2_control_b,b
cell_2_control_10,donor_2,D2_control,control,batch_2,lane_2,-0.8148,D2_control_a,a
cell_2_control_11,donor_2,D2_control,control,batch_2,lane_3,-1.106,D2_control_b,b
cell_2_control_12,donor_2,D2_control,control,batch_2,lane_1,0.3962,D2_control_a,a
cell_2_control_13,donor_2,D2_control,control,batch_2,lane_2,-0.9268,D2_control_b,b
cell_2_control_14,donor_2,D2_control,control,batch_2,lane_3,1.5933,D2_control_a,a
cell_2_control_15,donor_2,D2_control,control,batch_2,lane_1,-0.7283,D2_control_b,b
cell_2_control_16,donor_2,D2_control,control,batch_2,lane_2,1.7945,D2_control_a,a
cell_2_control_17,donor_2,D2_control,control,batch_2,lane_3,-0.3108,D2_control_b,b
cell_2_control_18,donor_2,D2_control,control,batch_2,lane_1,0.674,D2_control_a,a
cell_2_control_19,donor_2,D2_control,control,batch_2,lane_2,-0.275,D2_control_b,b
cell_2_control_20,donor_2,D2_control,control,batch_2,lane_3,1.4356,D2_control_a,a
cell_2_control_21,donor_2,D2_control,control,batch_2,lane_1,0.465,D2_control_b,b
cell_2_control_22,donor_2,D2_control,control,batch_2,lane_2,0.5293,D2_control_a,a
cell_2_control_23,donor_2,D2_control,control,batch_2,lane_3,-0.6259,D2_control_b,b
cell_2_control_24,donor_2,D2_control,control,batch_2,lane_1,-0.3568,D2_control_a,a
cell_2_control_25,donor_2,D2_control,control,batch_2,lane_2,1.2107,D2_control_b,b
cell_2_control_26,donor_2,D2_control,control,batch_2,lane_3,2.4586,D2_control_a,a
cell_2_control_27,donor_2,D2_control,control,batch_2,lane_1,-0.572,D2_control_b,b
cell_2_control_28,donor_2,D2_control,control,batch_2,lane_2,0.5285,D2_control_a,a
cell_2_control_29,donor_2,D2_control,control,batch_2,lane_3,-1.629,D2_control_b,b
cell_2_control_30,donor_2,D2_control,control,batch_2,lane_1,1.1767,D2_control_a,a
cell_2_control_31,donor_2,D2_control,control,batch_2,lane_2,-0.1869,D2_control_b,b
cell_2_control_32,donor_2,D2_control,control,batch_2,lane_3,3.1886,D2_control_a,a
cell_2_control_33,donor_2,D2_control,control,batch_2,lane_1,-0.1468,D2_control_b,b
cell_2_control_34,donor_2,D2_control,control,batch_2,lane_2,0.229,D2_control_a,a
cell_2_control_35,donor_2,D2_control,control,batch_2,lane_3,-2.8378,D2_control_b,b
cell_2_control_36,donor_2,D2_control,control,batch_2,lane_1,2.4162,D2_control_a,a
cell_2_control_37,donor_2,D2_control,control,batch_2,lane_2,-0.2038,D2_control_b,b
cell_2_control_38,donor_2,D2_control,control,batch_2,lane_3,-0.6024,D2_control_a,a
cell_2_control_39,donor_2,D2_control,control,batch_2,lane_1,-0.2128,D2_control_b,b
cell_3_treated_0,donor_3,D3_treated,treated,batch_1,lane_1,0.6501,,
cell_3_treated_1,donor_3,D3_treated,treated,batch_1,lane_2,-1.7114,,
cell_3_treated_2,donor_3,D3_treated,treated,batch_1,lane_3,-2.2578,,
cell_3_treated_3,donor_3,D3_treated,treated,batch_1,lane_1,-3.0054,,
cell_3_treated_4,donor_3,D3_treated,treated,batch_1,lane_2,-4.97,,
cell_3_treated_5,donor_3,D3_treated,treated,batch_1,lane_3,-2.9567,,
cell_3_treated_6,donor_3,D3_treated,treated,batch_1,lane_1,-4.3849,,
cell_3_treated_7,donor_3,D3_treated,treated,batch_1,lane_2,-2.2341,,
cell_3_treated_8,donor_3,D3_treated,treated,batch_1,lane_3,-4.9692,,
cell_3_treated_9,donor_3,D3_treated,treated,batch_1,lane_1,-3.738,,
cell_3_treated_10,donor_3,D3_treated,treated,batch_1,lane_2,-1.6107,,
cell_3_treated_11,donor_3,D3_treated,treated,batch_1,lane_3,-1.1864,,
cell_3_treated_12,donor_3,D3_treated,treated,batch_1,lane_1,-4.0115,,
cell_3_treated_13,donor_3,D3_treated,treated,batch_1,lane_2,-4.3643,,
cell_3_treated_14,donor_3,D3_treated,treated,batch_1,lane_3,-1.9509,,
cell_3_treated_15,donor_3,D3_treated,treated,batch_1,lane_1,-1.9772,,
cell_3_treated_16,donor_3,D3_treated,treated,batch_1,lane_2,-3.8169,,
cell_3_treated_17,donor_3,D3_treated,treated,batch_1,lane_3,-3.5246,,
cell_3_treated_18,donor_3,D3_treated,treated,batch_1,lane_1,-3.5242,,
cell_3_treated_19,donor_3,D3_treated,treated,batch_1,lane_2,-4.0197,,
cell_3_treated_20,donor_3,D3_treated,treated,batch_1,lane_3,-3.5105,,
cell_3_treated_21,donor_3,D3_treated,treated,batch_1,lane_1,-1.5796,,
cell_3_treated_22,donor_3,D3_treated,treated,batch_1,lane_2,-2.1406,,
cell_3_treated_23,donor_3,D3_treated,treated,batch_1,lane_3,-0.7737,,
cell_3_treated_24,donor_3,D3_treated,treated,batch_1,lane_1,-2.9166,,
cell_3_treated_25,donor_3,D3_treated,treated,batch_1,lane_2,-2.9657,,
cell_3_treated_26,donor_3,D3_treated,treated,batch_1,lane_3,-3.8127,,
cell_3_treated_27,donor_3,D3_treated,treated,batch_1,lane_1,-2.9541,,
cell_3_treated_28,donor_3,D3_treated,treated,batch_1,lane_2,-4.1434,,
cell_3_treated_29,donor_3,D3_treated,treated,batch_1,lane_3,-4.6077,,
cell_3_treated_30,donor_3,D3_treated,treated,batch_1,lane_1,-2.1333,,
cell_3_treated_31,donor_3,D3_treated,treated,batch_1,lane_2,-1.3902,,
cell_3_treated_32,donor_3,D3_treated,treated,batch_1,lane_3,-1.9934,,
cell_3_treated_33,donor_3,D3_treated,treated,batch_1,lane_1,-1.4979,,
cell_3_treated_34,donor_3,D3_treated,treated,batch_1,lane_2,-2.5779,,
cell_3_treated_35,donor_3,D3_treated,treated,batch_1,lane_3,-3.5485,,
cell_3_treated_36,donor_3,D3_treated,treated,batch_1,lane_1,-2.7439,,
cell_3_treated_37,donor_3,D3_treated,treated,batch_1,lane_2,-3.2043,,
cell_3_treated_38,donor_3,D3_treated,treated,batch_1,lane_3,-3.9418,,
cell_3_treated_39,donor_3,D3_treated,treated,batch_1,lane_1,-4.5228,,
cell_3_control_0,donor_3,D3_control,control,batch_1,lane_1,-2.0131,D3_control_a,a
