cell_barcode,condition,donor
u0_c0,treated,D0
u0_c1,treated,D0
u0_c2,treated,D0
u0_c3,treated,D0
u0_c4,treated,D0
u0_c5,treated,D0
u0_c6,treated,D0
u0_c7,treated,D0
u0_c8,treated,D0
u0_c9,treated,D0
u0_c10,treated,D0
u0_c11,treated,D0
u1_c0,control,D1
u1_c1,control,D1
u1_c2,control,D1
u1_c3,control,D1
u1_c4,control,D1
u1_c5,control,D1
u1_c6,control,D1
u1_c7,control,D1
u1_c8,control,D1
u1_c9,control,D1
u1_c10,control,D1
u1_c11,control,D1
u2_c0,treated,D2
u2_c1,treated,D2
u2_c2,treated,D2
u2_c3,treated,D2
u2_c4,treated,D2
u2_c5,treated,D2
u2_c6,treated,D2
u2_c7,treated,D2
u2_c8,treated,D2
u2_c9,treated,D2
u2_c10,treated,D2
u2_c11,treated,D2
u3_c0,control,D3
u3_c1,control,D3
u3_c2,control,D3
u3_c3,control,D3
u3_c4,control,D3
u3_c5,control,D3
u3_c6,control,D3
u3_c7,control,D3
u3_c8,control,D3
u3_c9,control,D3
u3_c10,control,D3
u3_c11,control,D3
u4_c0,treated,D4
u4_c1,treated,D4
u4_c2,treated,D4
u4_c3,treated,D4
u4_c4,treated,D4
u4_c5,treated,D4
u4_c6,treated,D4
u4_c7,treated,D4
u4_c8,treated,D4
u4_c9,treated,D4
u4_c10,treated,D4
u4_c11,treated,D4
u5_c0,control,D5
u5_c1,control,D5
u5_c2,control,D5
u5_c3,control,D5
u5_c4,control,D5
u5_c5,control,D5
u5_c6,control,D5
u5_c7,control,D5
u5_c8,control,D5
u5_c9,control,D5
u5_c10,control,D5
u5_c11,control,D5
