cell_barcode,donor,sample,condition,batch,lane,pathway_score,nc_unit,nc_split
cell_1_treated_0,donor_1,D1_treated,treated,batch_1,lane_1,2.0953,,
cell_1_treated_1,donor_1,D1_treated,treated,batch_1,lane_2,0.7122,,
cell_1_treated_2,donor_1,D1_treated,treated,batch_1,lane_3,-0.1187,,
cell_1_treated_3,donor_1,D1_treated,treated,batch_1,lane_1,-0.4464,,
cell_1_treated_4,donor_1,D1_treated,treated,batch_1,lane_2,0.6772,,
cell_1_treated_5,donor_1,D1_treated,treated,batch_1,lane_3,-0.3763,,
cell_1_treated_6,donor_1,D1_treated,treated,batch_1,lane_1,-0.791,,
cell_1_treated_7,donor_1,D1_treated,treated,batch_1,lane_2,0.8451,,
cell_1_treated_8,donor_1,D1_treated,treated,batch_1,lane_3,0.7792,,
cell_1_treated_9,donor_1,D1_treated,treated,batch_1,lane_1,1.1923,,
cell_1_treated_10,donor_1,D1_treated,treated,batch_1,lane_2,-0.2681,,
cell_1_treated_11,donor_1,D1_treated,treated,batch_1,lane_3,0.6508,,
cell_1_treated_12,donor_1,D1_treated,treated,batch_1,lane_1,0.5811,,
cell_1_treated_13,donor_1,D1_treated,treated,batch_1,lane_2,-0.86,,
cell_1_treated_14,donor_1,D1_treated,treated,batch_1,lane_3,1.1838,,
cell_1_treated_15,donor_1,D1_treated,treated,batch_1,lane_1,0.9665,,
cell_1_treated_16,donor_1,D1_treated,treated,batch_1,lane_2,3.0349,,
cell_1_treated_17,donor_1,D1_treated,treated,batch_1,lane_3,0.8488,,
cell_1_treated_18,donor_1,D1_treated,treated,batch_1,lane_1,0.5011,,
cell_1_treated_19,donor_1,D1_treated,treated,batch_1,lane_2,1.8786,,
cell_1_treated_20,donor_1,D1_treated,treated,batch_1,lane_3,0.8446,,
cell_1_treated_21,donor_1,D1_treated,treated,batch_1,lane_1,1.5549,,
cell_1_treated_22,donor_1,D1_treated,treated,batch_1,lane_2,0.2803,,
cell_1_treated_23,donor_1,D1_treated,treated,batch_1,lane_3,0.864,,
cell_1_treated_24,donor_1,D1_treated,treated,batch_1,lane_1,1.6701,,
cell_1_treated_25,donor_1,D1_treated,treated,batch_1,lane_2,1.3421,,
cell_1_treated_26,donor_1,D1_treated,treated,batch_1,lane_3,0.7743,,
cell_1_treated_27,donor_1,D1_treated,treated,batch_1,lane_1,-0.4365,,
cell_1_treated_28,donor_1,D1_treated,treated,batch_1,lane_2,1.091,,
cell_1_treated_29,donor_1,D1_treated,treated,batch_1,lane_3,0.7227,,
cell_1_treated_30,donor_1,D1_treated,treated,batch_1,lane_1,1.3663,,
cell_1_treated_31,donor_1,D1_treated,treated,batch_1,lane_2,0.8621,,
cell_1_treated_32,donor_1,D1_treated,treated,batch_1,lane_3,1.734,,
cell_1_treated_33,donor_1,D1_treated,treated,batch_1,lane_1,0.5943,,
cell_1_treated_34,donor_1,D1_treated,treated,batch_1,lane_2,0.8478,,
cell_1_treated_35,donor_1,D1_treated,treated,batch_1,lane_3,1.3126,,
cell_1_treated_36,donor_1,D1_treated,treated,batch_1,lane_1,-0.4411,,
cell_1_treated_37,donor_1,D1_treated,treated,batch_1,lane_2,0.2442,,
cell_1_treated_38,donor_1,D1_treated,treated,batch_1,lane_3,0.1458,,
cell_1_treated_39,donor_1,D1_treated,treated,batch_1,lane_1,2.6264,,
cell_1_control_0,donor_1,D1_control,control,batch_1,lane_1,1.453,D1_control_a,a
cell_1_control_1,donor_1,D1_control,control,batch_1,lane_2,2.198,D1_control_b,b
cell_1_control_2,donor_1,D1_control,control,batch_1,lane_3,2.1652,D1_control_a,a
cell_1_control_3,donor_1,D1_control,control,batch_1,lane_1,1.2649,D1_control_b,b
cell_1_control_4,donor_1,D1_control,control,batch_1,lane_2,-0.005,D1_control_a,a
cell_1_control_5,donor_1,D1_control,control,batch_1,lane_3,2.5107,D1_control_b,b
cell_1_control_6,donor_1,D1_control,control,batch_1,lane_1,1.1386,D1_control_a,a
cell_1_control_7,donor_1,D1_control,control,batch_1,lane_2,2.2638,D1_control_b,b
cell_1_control_8,donor_1,D1_control,control,batch_1,lane_3,0.2406,D1_control_a,a
cell_1_control_9,donor_1,D1_control,control,batch_1,lane_1,1.1078,D1_control_b,b
cell_1_control_10,donor_1,D1_control,control,batch_1,lane_2,2.8026,D1_control_a,a
cell_1_control_11,donor_1,D1_control,control,batch_1,lane_3,2.9768,D1_control_b,b
cell_1_control_12,donor_1,D1_control,control,batch_1,lane_1,0.2434,D1_control_a,a
cell_1_control_13,donor_1,D1_control,control,batch_1,lane_2,0.213,D1_control_b,b
cell_1_control_14,donor_1,D1_control,control,batch_1,lane_3,1.5016,D1_control_a,a
cell_1_control_15,donor_1,D1_control,control,batch_1,lane_1,2.2741,D1_control_b,b
cell_1_control_16,donor_1,D1_control,control,batch_1,lane_2,1.7063,D1_control_a,a
cell_1_control_17,donor_1,D1_control,control,batch_1,lane_3,1.8494,D1_control_b,b
cell_1_control_18,donor_1,D1_control,control,batch_1,lane_1,0.557,D1_control_a,a
cell_1_control_19,donor_1,D1_control,control,batch_1,lane_2,2.1326,D1_control_b,b
cell_1_control_20,donor_1,D1_control,control,batch_1,lane_3,2.6627,D1_control_a,a
cell_1_control_21,donor_1,D1_control,control,batch_1,lane_1,1.1101,D1_control_b,b
cell_1_control_22,donor_1,D1_control,control,batch_1,lane_2,0.1123,D1_control_a,a
cell_1_control_23,donor_1,D1_control,control,batch_1,lane_3,0.787,D1_control_b,b
cell_1_control_24,donor_1,D1_control,control,batch_1,lane_1,2.3075,D1_control_a,a
cell_1_control_25,donor_1,D1_control,control,batch_1,lane_2,-0.1879,D1_control_b,b
cell_1_control_26,donor_1,D1_control,control,batch_1,lane_3,1.4539,D1_control_a,a
cell_1_control_27,donor_1,D1_control,control,batch_1,lane_1,0.5548,D1_control_b,b
cell_1_control_28,donor_1,D1_control,control,batch_1,lane_2,1.4147,D1_control_a,a
cell_1_control_29,donor_1,D1_control,control,batch_1,lane_3,1.3013,D1_control_b,b
cell_1_control_30,donor_1,D1_control,control,batch_1,lane_1,1.5617,D1_control_a,a
cell_1_control_31,donor_1,D1_control,control,batch_1,lane_2,3.047,D1_control_b,b
cell_1_control_32,donor_1,D1_control,control,batch_1,lane_3,1.9665,D1_control_a,a
cell_1_control_33,donor_1,D1_control,control,batch_1,lane_1,2.8795,D1_control_b,b
cell_1_control_34,donor_1,D1_control,control,batch_1,lane_2,1.4044,D1_control_a,a
cell_1_control_35,donor_1,D1_control,control,batch_1,lane_3,1.0662,D1_control_b,b
cell_1_control_36,donor_1,D1_control,control,batch_1,lane_1,1.9246,D1_control_a,a
cell_1_control_37,donor_1,D1_control,control,batch_1,lane_2,-1.29,D1_control_b,b
cell_1_control_38,donor_1,D1_control,control,batch_1,lane_3,1.5059,D1_control_a,a
cell_1_control_39,donor_1,D1_control,control,batch_1,lane_1,1.706,D1_control_b,b
cell_2_treated_0,donor_2,D2_treated,treated,batch_2,lane_1,-1.9179,,
cell_2_treated_1,donor_2,D2_treated,treated,batch_2,lane_2,-2.9415,,
cell_2_treated_2,donor_2,D2_treated,treated,batch_2,lane_3,-4.8414,,
cell_2_treated_3,donor_2,D2_treated,treated,batch_2,lane_1,-2.5956,,
cell_2_treated_4,donor_2,D2_treated,treated,batch_2,lane_2,-3.3611,,
cell_2_treated_5,donor_2,D2_treated,treated,batch_2,lane_3,-2.9028,,
cell_2_treated_6,donor_2,D2_treated,treated,batch_2,lane_1,-2.5345,,
cell_2_treated_7,donor_2,D2_treated,treated,batch_2,lane_2,-1.1313,,
cell_2_treated_8,donor_2,D2_treated,treated,batch_2,lane_3,-2.2791,,
cell_2_treated_9,donor_2,D2_treated,treated,batch_2,lane_1,-2.4107,,
cell_2_treated_10,donor_2,D2_treated,treated,batch_2,lane_2,-1.9932,,
cell_2_treated_11,donor_2,D2_treated,treated,batch_2,lane_3,-4.1943,,
cell_2_treated_12,donor_2,D2_treated,treated,batch_2,lane_1,-1.1421,,
cell_2_treated_13,donor_2,D2_treated,treated,batch_2,lane_2,-3.4593,,
cell_2_treated_14,donor_2,D2_treated,treated,batch_2,lane_3,-1.9432,,
cell_2_treated_15,donor_2,D2_treated,treated,batch_2,lane_1,-3.509,,
cell_2_treated_16,donor_2,D2_treated,treated,batch_2,lane_2,-3.3587,,
cell_2_treated_17,donor_2,D2_treated,treated,batch_2,lane_3,-2.7785,,
cell_2_treated_18,donor_2,D2_treated,treated,batch_2,lane_1,-0.4865,,
cell_2_treated_19,donor_2,D2_treated,treated,batch_2,lane_2,-1.6846,,
cell_2_treated_20,donor_2,D2_treated,treated,batch_2,lane_3,-2.9864,,
cell_2_treated_21,donor_2,D2_treated,treated,batch_2,lane_1,-2.6666,,
cell_2_treated_22,donor_2,D2_treated,treated,batch_2,lane_2,-3.5336,,
cell_2_treated_23,donor_2,D2_treated,treated,batch_2,lane_3,-2.4164,,
cell_2_treated_24,donor_2,D2_treated,treated,batch_2,lane_1,-2.9553,,
cell_2_treated_25,donor_2,D2_treated,treated,batch_2,lane_2,-1.6604,,
cell_2_treated_26,donor_2,D2_treated,treated,batch_2,lane_3,-3.7393,,
cell_2_treated_27,donor_2,D2_treated,treated,batch_2,lane_1,-2.7169,,
cell_2_treated_28,donor_2,D2_treated,treated,batch_2,lane_2,-3.2243,,
cell_2_treated_29,donor_2,D2_treated,treated,batch_2,lane_3,-3.101,,
cell_2_treated_30,donor_2,D2_treated,treated,batch_2,lane_1,-1.6711,,
cell_2_treated_31,donor_2,D2_treated,treated,batch_2,lane_2,-2.2559,,
cell_2_treated_32,donor_2,D2_treated,treated,batch_2,lane_3,-1.7971,,
cell_2_treated_33,donor_2,D2_treated,treated,batch_2,lane_1,-1.1932,,
cell_2_treated_34,donor_2,D2_treated,treated,batch_2,lane_2,-1.2327,,
cell_2_treated_35,donor_2,D2_treated,treated,batch_2,lane_3,-3.754,,
cell_2_treated_36,donor_2,D2_treated,treated,batch_2,lane_1,-1.8453,,
cell_2_treated_37,donor_2,D2_treated,treated,batch_2,lane_2,-4.1435,,
cell_2_treated_38,donor_2,D2_treated,treated,batch_2,lane_3,-2.4461,,
cell_2_treated_39,donor_2,D2_treated,treated,batch_2,lane_1,-0.4631,,
cell_2_control_0,donor_2,D2_control,control,batch_2,lane_1,-1.6759,D2_control_a,a
cell_2_control_1,donor_2,D2_control,control,batch_2,lane_2,-1.8514,D2_control_b,b
cell_2_control_2,donor_2,D2_control,control,batch_2,lane_3,-1.3119,D2_control_a,a
cell_2_control_3,donor_2,D2_control,control,batch_2,lane_1,-1.4643,D2_control_b,b
cell_2_control_4,donor_2,D2_control,control,batch_2,lane_2,-1.4557,D2_control_a,a
cell_2_control_5,donor_2,D2_control,control,batch_2,lane_3,-2.2395,D2_control_b,b
cell_2_control_6,donor_2,D2_control,control,batch_2,lane_1,-0.4005,D2_control_a,a
cell_2_control_7,donor_2,D2_control,control,batch_2,lane_2,-0.5932,D2_control_b,b
cell_2_control_8,donor_2,D2_control,control,batch_2,lane_3,-1.6945,D2_control_a,a
cell_2_control_9,donor_2,D2_control,control,batch_2,lane_1,-1.1675,D2_control_b,b
cell_2_control_10,donor_2,D2_control,control,batch_2,lane_2,-0.8238,D2_control_a,a
cell_2_control_11,donor_2,D2_control,control,batch_2,lane_3,-0.4501,D2_control_b,b
cell_2_control_12,donor_2,D2_control,control,batch_2,lane_1,-1.0895,D2_control_a,a
cell_2_control_13,donor_2,D2_control,control,batch_2,lane_2,-0.7871,D2_control_b,b
cell_2_control_14,donor_2,D2_control,control,batch_2,lane_3,-1.7455,D2_control_a,a
cell_2_control_15,donor_2,D2_control,control,batch_2,lane_1,-2.5516,D2_control_b,b
cell_2_control_16,donor_2,D2_control,control,batch_2,lane_2,-1.9776,D2_control_a,a
cell_2_control_17,donor_2,D2_control,control,batch_2,lane_3,-0.4631,D2_control_b,b
cell_2_control_18,donor_2,D2_control,control,batch_2,lane_1,-0.5045,D2_control_a,a
cell_2_control_19,donor_2,D2_control,control,batch_2,lane_2,-1.336,D2_control_b,b
cell_2_control_20,donor_2,D2_control,control,batch_2,lane_3,-2.0496,D2_control_a,a
cell_2_control_21,donor_2,D2_control,control,batch_2,lane_1,-1.1746,D2_control_b,b
cell_2_control_22,donor_2,D2_control,control,batch_2,lane_2,0.1812,D2_control_a,a
cell_2_control_23,donor_2,D2_control,control,batch_2,lane_3,-0.1278,D2_control_b,b
cell_2_control_24,donor_2,D2_control,control,batch_2,lane_1,-2.1658,D2_control_a,a
cell_2_control_25,donor_2,D2_control,control,batch_2,lane_2,-1.5258,D2_control_b,b
