cell_barcode,donor,sample,condition,batch,lane,pathway_score,nc_unit,nc_split
cell_treated_0,donor_1,single_treated,treated,batch_1,lane_1,-1.1559,,
cell_treated_1,donor_1,single_treated,treated,batch_1,lane_2,-0.3886,,
cell_treated_2,donor_1,single_treated,treated,batch_1,lane_3,-1.1261,,
cell_treated_3,donor_1,single_treated,treated,batch_1,lane_1,-1.2151,,
cell_treated_4,donor_1,single_treated,treated,batch_1,lane_2,-1.83,,
cell_treated_5,donor_1,single_treated,treated,batch_1,lane_3,-1.1133,,
cell_treated_6,donor_1,single_treated,treated,batch_1,lane_1,0.2119,,
cell_treated_7,donor_1,single_treated,treated,batch_1,lane_2,-0.4759,,
cell_treated_8,donor_1,single_treated,treated,batch_1,lane_3,0.1369,,
cell_treated_9,donor_1,single_treated,treated,batch_1,lane_1,-0.6511,,
cell_treated_10,donor_1,single_treated,treated,batch_1,lane_2,-0.5052,,
cell_treated_11,donor_1,single_treated,treated,batch_1,lane_3,-0.7147,,
cell_treated_12,donor_1,single_treated,treated,batch_1,lane_1,-2.5661,,
cell_treated_13,donor_1,single_treated,treated,batch_1,lane_2,-0.0447,,
cell_treated_14,donor_1,single_treated,treated,batch_1,lane_3,-0.3936,,
cell_treated_15,donor_1,single_treated,treated,batch_1,lane_1,-0.4012,,
cell_treated_16,donor_1,single_treated,treated,batch_1,lane_2,-2.5914,,
cell_treated_17,donor_1,single_treated,treated,batch_1,lane_3,-2.6439,,
cell_treated_18,donor_1,single_treated,treated,batch_1,lane_1,-1.7896,,
cell_treated_19,donor_1,single_treated,treated,batch_1,lane_2,-1.3682,,
cell_treated_20,donor_1,single_treated,treated,batch_1,lane_3,-0.5946,,
cell_treated_21,donor_1,single_treated,treated,batch_1,lane_1,-0.9459,,
cell_treated_22,donor_1,single_treated,treated,batch_1,lane_2,-0.379,,
cell_treated_23,donor_1,single_treated,treated,batch_1,lane_3,-1.5422,,
cell_treated_24,donor_1,single_treated,treated,batch_1,lane_1,-0.5913,,
cell_treated_25,donor_1,single_treated,treated,batch_1,lane_2,-0.5058,,
cell_treated_26,donor_1,single_treated,treated,batch_1,lane_3,-1.5611,,
cell_treated_27,donor_1,single_treated,treated,batch_1,lane_1,0.8175,,
cell_treated_28,donor_1,single_treated,treated,batch_1,lane_2,-0.3434,,
cell_treated_29,donor_1,single_treated,treated,batch_1,lane_3,0.297,,
cell_treated_30,donor_1,single_treated,treated,batch_1,lane_1,-1.5203,,
cell_treated_31,donor_1,single_treated,treated,batch_1,lane_2,-1.6395,,
cell_treated_32,donor_1,single_treated,treated,batch_1,lane_3,-1.244,,
cell_treated_33,donor_1,single_treated,treated,batch_1,lane_1,-1.0064,,
cell_treated_34,donor_1,single_treated,treated,batch_1,lane_2,-0.2679,,
cell_treated_35,donor_1,single_treated,treated,batch_1,lane_3,-0.6516,,
cell_treated_36,donor_1,single_treated,treated,batch_1,lane_1,-1.3474,,
cell_treated_37,donor_1,single_treated,treated,batch_1,lane_2,-1.8569,,
cell_treated_38,donor_1,single_treated,treated,batch_1,lane_3,-1.4206,,
cell_treated_39,donor_1,single_treated,treated,batch_1,lane_1,0.3209,,
cell_treated_40,donor_1,single_treated,treated,batch_1,lane_2,-1.7079,,
cell_treated_41,donor_1,single_treated,treated,batch_1,lane_3,-0.6552,,
cell_treated_42,donor_1,single_treated,treated,batch_1,lane_1,-0.4735,,
cell_treated_43,donor_1,single_treated,treated,batch_1,lane_2,-2.3897,,
cell_treated_44,donor_1,single_treated,treated,batch_1,lane_3,-0.8515,,
cell_treated_45,donor_1,single_treated,treated,batch_1,lane_1,0.4062,,
cell_treated_46,donor_1,single_treated,treated,batch_1,lane_2,-2.9144,,
cell_treated_47,donor_1,single_treated,treated,batch_1,lane_3,-1.2216,,
cell_treated_48,donor_1,single_treated,treated,batch_1,lane_1,-1.0061,,
cell_treated_49,donor_1,single_treated,treated,batch_1,lane_2,-1.7173,,
cell_treated_50,donor_1,single_treated,treated,batch_1,lane_3,-0.4026,,
cell_treated_51,donor_1,single_treated,treated,batch_1,lane_1,-0.9623,,
cell_treated_52,donor_1,single_treated,treated,batch_1,lane_2,-2.3647,,
cell_treated_53,donor_1,single_treated,treated,batch_1,lane_3,-0.0722,,
cell_treated_54,donor_1,single_treated,treated,batch_1,lane_1,-0.2307,,
cell_treated_55,donor_1,single_treated,treated,batch_1,lane_2,0.0458,,
cell_treated_56,donor_1,single_treated,treated,batch_1,lane_3,0.5406,,
cell_treated_57,donor_1,single_treated,treated,batch_1,lane_1,-0.5378,,
cell_treated_58,donor_1,single_treated,treated,batch_1,lane_2,-0.7807,,
cell_treated_59,donor_1,single_treated,treated,batch_1,lane_3,-2.1992,,
cell_treated_60,donor_1,single_treated,treated,batch_1,lane_1,-0.2846,,
cell_treated_61,donor_1,single_treated,treated,batch_1,lane_2,-1.5118,,
cell_treated_62,donor_1,single_treated,treated,batch_1,lane_3,-1.3527,,
cell_treated_63,donor_1,single_treated,treated,batch_1,lane_1,-2.1648,,
cell_treated_64,donor_1,single_treated,treated,batch_1,lane_2,-1.8676,,
cell_treated_65,donor_1,single_treated,treated,batch_1,lane_3,-1.4311,,
cell_treated_66,donor_1,single_treated,treated,batch_1,lane_1,0.3888,,
cell_treated_67,donor_1,single_treated,treated,batch_1,lane_2,-2.9318,,
cell_treated_68,donor_1,single_treated,treated,batch_1,lane_3,-2.3577,,
cell_treated_69,donor_1,single_treated,treated,batch_1,lane_1,-0.6606,,
cell_treated_70,donor_1,single_treated,treated,batch_1,lane_2,0.5433,,
cell_treated_71,donor_1,single_treated,treated,batch_1,lane_3,-0.3215,,
cell_treated_72,donor_1,single_treated,treated,batch_1,lane_1,-2.7999,,
cell_treated_73,donor_1,single_treated,treated,batch_1,lane_2,-3.4182,,
cell_treated_74,donor_1,single_treated,treated,batch_1,lane_3,-0.5426,,
cell_treated_75,donor_1,single_treated,treated,batch_1,lane_1,-1.6363,,
cell_treated_76,donor_1,single_treated,treated,batch_1,lane_2,-2.0198,,
cell_treated_77,donor_1,single_treated,treated,batch_1,lane_3,0.0774,,
cell_treated_78,donor_1,single_treated,treated,batch_1,lane_1,0.2018,,
cell_treated_79,donor_1,single_treated,treated,batch_1,lane_2,-0.7427,,
cell_treated_80,donor_1,single_treated,treated,batch_1,lane_3,-0.6542,,
cell_treated_81,donor_1,single_treated,treated,batch_1,lane_1,-0.4656,,
cell_treated_82,donor_1,single_treated,treated,batch_1,lane_2,0.694,,
cell_treated_83,donor_1,single_treated,treated,batch_1,lane_3,-0.281,,
cell_treated_84,donor_1,single_treated,treated,batch_1,lane_1,-0.3814,,
cell_treated_85,donor_1,single_treated,treated,batch_1,lane_2,-0.3523,,
cell_treated_86,donor_1,single_treated,treated,batch_1,lane_3,-2.4683,,
cell_treated_87,donor_1,single_treated,treated,batch_1,lane_1,0.3817,,
cell_treated_88,donor_1,single_treated,treated,batch_1,lane_2,0.0551,,
cell_treated_89,donor_1,single_treated,treated,batch_1,lane_3,-0.3704,,
cell_treated_90,donor_1,single_treated,treated,batch_1,lane_1,-2.8739,,
cell_treated_91,donor_1,single_treated,treated,batch_1,lane_2,-1.5337,,
cell_treated_92,donor_1,single_treated,treated,batch_1,lane_3,-0.0577,,
cell_treated_93,donor_1,single_treated,treated,batch_1,lane_1,-2.7112,,
cell_treated_94,donor_1,single_treated,treated,batch_1,lane_2,-1.084,,
cell_treated_95,donor_1,single_treated,treated,batch_1,lane_3,0.1195,,
cell_treated_96,donor_1,single_treated,treated,batch_1,lane_1,-2.2112,,
cell_treated_97,donor_1,single_treated,treated,batch_1,lane_2,0.7101,,
cell_treated_98,donor_1,single_treated,treated,batch_1,lane_3,-0.348,,
cell_treated_99,donor_1,single_treated,treated,batch_1,lane_1,-1.0501,,
cell_treated_100,donor_1,single_treated,treated,batch_1,lane_2,-0.5751,,
cell_treated_101,donor_1,single_treated,treated,batch_1,lane_3,-0.2502,,
cell_treated_102,donor_1,single_treated,treated,batch_1,lane_1,-0.7796,,
cell_treated_103,donor_1,single_treated,treated,batch_1,lane_2,0.2457,,
cell_treated_104,donor_1,single_treated,treated,batch_1,lane_3,-1.5615,,
cell_treated_105,donor_1,single_treated,treated,batch_1,lane_1,-1.3147,,
cell_treated_106,donor_1,single_treated,treated,batch_1,lane_2,0.1417,,
cell_treated_107,donor_1,single_treated,treated,batch_1,lane_3,-0.8732,,
cell_treated_108,donor_1,single_treated,treated,batch_1,lane_1,-1.7805,,
cell_treated_109,donor_1,single_treated,treated,batch_1,lane_2,0.0465,,
cell_treated_110,donor_1,single_treated,treated,batch_1,lane_3,0.5655,,
cell_treated_111,donor_1,single_treated,treated,batch_1,lane_1,-1.3448,,
cell_treated_112,donor_1,single_treated,treated,batch_1,lane_2,-2.28,,
cell_treated_113,donor_1,single_treated,treated,batch_1,lane_3,-1.0347,,
cell_treated_114,donor_1,single_treated,treated,batch_1,lane_1,-1.049,,
cell_treated_115,donor_1,single_treated,treated,batch_1,lane_2,-1.198,,
cell_treated_116,donor_1,single_treated,treated,batch_1,lane_3,0.5048,,
cell_treated_117,donor_1,single_treated,treated,batch_1,lane_1,-1.9269,,
cell_treated_118,donor_1,single_treated,treated,batch_1,lane_2,0.3606,,
cell_treated_119,donor_1,single_treated,treated,batch_1,lane_3,-2.1683,,
cell_treated_120,donor_1,single_treated,treated,batch_1,lane_1,-1.687,,
cell_treated_121,donor_1,single_treated,treated,batch_1,lane_2,-0.2685,,
cell_treated_122,donor_1,single_treated,treated,batch_1,lane_3,0.2287,,
cell_treated_123,donor_1,single_treated,treated,batch_1,lane_1,-0.041,,
cell_treated_124,donor_1,single_treated,treated,batch_1,lane_2,-0.5548,,
cell_treated_125,donor_1,single_treated,treated,batch_1,lane_3,-0.7576,,
cell_treated_126,donor_1,single_treated,treated,batch_1,lane_1,-0.7475,,
cell_treated_127,donor_1,single_treated,treated,batch_1,lane_2,-0.3247,,
cell_treated_128,donor_1,single_treated,treated,batch_1,lane_3,-1.0762,,
cell_treated_129,donor_1,single_treated,treated,batch_1,lane_1,-0.6226,,
cell_treated_130,donor_1,single_treated,treated,batch_1,lane_2,-0.3273,,
cell_treated_131,donor_1,single_treated,treated,batch_1,lane_3,-0.8992,,
cell_treated_132,donor_1,single_treated,treated,batch_1,lane_1,-0.136,,
cell_treated_133,donor_1,single_treated,treated,batch_1,lane_2,-0.3341,,
cell_treated_134,donor_1,single_treated,treated,batch_1,lane_3,1.1106,,
cell_treated_135,donor_1,single_treated,treated,batch_1,lane_1,-0.5751,,
cell_treated_136,donor_1,single_treated,treated,batch_1,lane_2,-1.3276,,
cell_treated_137,donor_1,single_treated,treated,batch_1,lane_3,-1.2726,,
cell_treated_138,donor_1,single_treated,treated,batch_1,lane_1,-0.9131,,
cell_treated_139,donor_1,single_treated,treated,batch_1,lane_2,0.0238,,
cell_treated_140,donor_1,single_treated,treated,batch_1,lane_3,-1.2366,,
cell_treated_141,donor_1,single_treated,treated,batch_1,lane_1,-0.5142,,
cell_treated_142,donor_1,single_treated,treated,batch_1,lane_2,0.9373,,
cell_treated_143,donor_1,single_treated,treated,batch_1,lane_3,-3.4647,,
cell_treated_144,donor_1,single_treated,treated,batch_1,lane_1,-2.0239,,
cell_treated_145,donor_1,single_treated,treated,batch_1,lane_2,-0.6561,,
cell_treated_146,donor_1,single_treated,treated,batch_1,lane_3,-0.5017,,
cell_treated_147,donor_1,single_treated,treated,batch_1,lane_1,-0.6614,,
cell_treated_148,donor_1,single_treated,treated,batch_1,lane_2,-1.3312,,
cell_treated_149,donor_1,single_treated,treated,batch_1,lane_3,-0.2449,,
cell_treated_150,donor_1,single_treated,treated,batch_1,lane_1,-0.6179,,
cell_treated_151,donor_1,single_treated,treated,batch_1,lane_2,-1.4221,,
